Average Rank: 1.000008

Iterations: 35

SuperNode: Rank: 35.735874, Index: 0, Links: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100], Backlinks: [1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100]
Page 1: Rank: 0.453755, Index: 1, Links: [0], Backlinks: [0]
Page 2: Rank: 0.453755, Index: 2, Links: [0 44], Backlinks: [0]
Page 3: Rank: 0.796861, Index: 3, Links: [0 30], Backlinks: [0 13]
Page 4: Rank: 0.883699, Index: 4, Links: [0], Backlinks: [0 96 28]
Page 5: Rank: 1.079092, Index: 5, Links: [0 55 92], Backlinks: [0 48 93 96]
Page 6: Rank: 0.648100, Index: 6, Links: [0 9], Backlinks: [0 51]
Page 7: Rank: 0.775409, Index: 7, Links: [0 64 58], Backlinks: [0 15 60]
Page 8: Rank: 0.607550, Index: 8, Links: [0], Backlinks: [0 65]
Page 9: Rank: 0.729198, Index: 9, Links: [0 35 62 22], Backlinks: [0 6]
Page 10: Rank: 0.453755, Index: 10, Links: [0 39 44], Backlinks: [0]
Page 11: Rank: 0.626223, Index: 11, Links: [0], Backlinks: [0 35]
Page 12: Rank: 0.508854, Index: 12, Links: [0], Backlinks: [0 88]
Page 13: Rank: 0.807306, Index: 13, Links: [0 3], Backlinks: [0 77 96 42]
Page 14: Rank: 0.453755, Index: 14, Links: [0 84], Backlinks: [0]
Page 15: Rank: 0.908655, Index: 15, Links: [0 16 7 67], Backlinks: [0 71 18]
Page 16: Rank: 0.723983, Index: 16, Links: [0], Backlinks: [0 15 68]
Page 17: Rank: 0.636959, Index: 17, Links: [0], Backlinks: [0 26]
Page 18: Rank: 0.809184, Index: 18, Links: [0 28 15], Backlinks: [0 46]
Page 19: Rank: 0.453755, Index: 19, Links: [0 26], Backlinks: [0]
Page 20: Rank: 0.453755, Index: 20, Links: [0 65 31], Backlinks: [0]
Page 21: Rank: 0.453755, Index: 21, Links: [0 28], Backlinks: [0]
Page 22: Rank: 0.608709, Index: 22, Links: [0 98], Backlinks: [0 9]
Page 23: Rank: 0.453755, Index: 23, Links: [0], Backlinks: [0]
Page 24: Rank: 0.646601, Index: 24, Links: [0 39], Backlinks: [0 57]
Page 25: Rank: 0.887814, Index: 25, Links: [0 64], Backlinks: [0 29]
Page 26: Rank: 0.646601, Index: 26, Links: [0 17 54], Backlinks: [0 19]
Page 27: Rank: 0.582319, Index: 27, Links: [0 50], Backlinks: [0 53]
Page 28: Rank: 1.290568, Index: 28, Links: [0 4 85], Backlinks: [0 18 91 21]
Page 29: Rank: 1.021312, Index: 29, Links: [0 25], Backlinks: [0 30]
Page 30: Rank: 1.335425, Index: 30, Links: [0 29], Backlinks: [0 52 3 64]
Page 31: Rank: 0.928523, Index: 31, Links: [0 95 38], Backlinks: [0 55 20]
Page 32: Rank: 0.453755, Index: 32, Links: [0], Backlinks: [0]
Page 33: Rank: 0.818034, Index: 33, Links: [0], Backlinks: [0 39]
Page 34: Rank: 0.453755, Index: 34, Links: [0 44], Backlinks: [0]
Page 35: Rank: 0.608709, Index: 35, Links: [0 11 94], Backlinks: [0 9]
Page 36: Rank: 0.453755, Index: 36, Links: [0], Backlinks: [0]
Page 37: Rank: 0.550178, Index: 37, Links: [0 40], Backlinks: [0 52]
Page 38: Rank: 0.909683, Index: 38, Links: [0], Backlinks: [0 73 31]
Page 39: Rank: 0.857124, Index: 39, Links: [0 33], Backlinks: [0 10 24]
Page 40: Rank: 0.784004, Index: 40, Links: [0 86 66], Backlinks: [0 42 37]
Page 41: Rank: 0.710883, Index: 41, Links: [0], Backlinks: [0 60 74]
Page 42: Rank: 0.453755, Index: 42, Links: [0 13 40 93], Backlinks: [0]
Page 43: Rank: 0.453755, Index: 43, Links: [0], Backlinks: [0]
Page 44: Rank: 0.968011, Index: 44, Links: [0], Backlinks: [0 2 10 34]
